Type,Subtype,Diameter (ft),Bin Model,Bushels,U.S. Tons Corn,Metric Tons Corn,"Eave Height (ft, inches)",Eave Height (m),"Fill Height (ft, inches)",Fill Height (m),Diameter (m),Roof Angle (degrees),Corrugation,Bottom,Rings,
Flat Bottom,Wide Core,72,E4-072062,"235,779","6,228","5,650",62'6”,19.05,81'5”,24.81,21.9455993,27.69652625,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072070,"260,927","6,892","6,253",69'10”,21.28,88'8”,27.04,21.9455993,27.69652625,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072073,"273,501","7,225","6,554",73'6”,22.4,92'5”,28.16,21.9455993,27.69652625,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072077,"286,075","7,557","6,855",77'2”,23.52,96'1”,29.29,21.9455993,27.73744691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072081,"298,650","7,889","7,157",80'10”,24.63,99'8”,30.39,21.9455993,27.69652625,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072084,"311,224","8,221","7,458",84'6”,25.75,103'5”,31.52,21.9455993,27.73744691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072088,"323,798","8,553","7,759",88'2”,26.87,107'1”,32.64,21.9455993,27.73744691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,75,E4-075029,"134,029","3,540","3,212",29'6”,8.99,48'7”,14.81,22.85999927,26.98457419,Wide,Flat,8,
Flat Bottom,Wide Core,75,E4-075037,"161,317","4,261","3,866",36'10”,11.22,55'11”,17.04,22.85999927,26.98457419,Wide,Flat,10,
Flat Bottom,Wide Core,75,E4-075040,"174,962","4,622","4,193",40'6”,12.34,59'7”,18.17,22.85999927,27.02436691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,75,E4-075048,"202,250","5,343","4,847",47'10”,14.58,66'11”,20.39,22.85999927,26.9447533,Wide,Flat,#N/A,
Flat Bottom,Wide Core,75,E4-075051,"215,894","5,703","5,174",51'6”,15.69,70'7”,21.52,22.85999927,27.02436691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,75,E4-075059,"243,183","6,424","5,828",58'10”,17.93,77'11”,23.74,22.85999927,26.9447533,Wide,Flat,#N/A,
Flat Bottom,Wide Core,75,E4-075062,"256,827","6,784","6,155",62'6”,19.05,81'7”,24.87,22.85999927,26.98457419,Wide,Flat,#N/A,
Flat Bottom,Wide Core,75,E4-075070,"284,115","7,505","6,808",69'10”,21.28,88'11”,27.1,22.85999927,26.98457419,Wide,Flat,#N/A,
Flat Bottom,Wide Core,75,E4-075073,"297,759","7,865","7,135",73'6”,22.4,92'7”,28.22,22.85999927,26.98457419,Wide,Flat,#N/A,
Flat Bottom,Wide Core,75,E4-075077,"311,404","8,226","7,462",77'2”,23.52,96'2”,29.32,22.85999927,26.90490426,Wide,Flat,#N/A,
Flat Bottom,Wide Core,75,E4-075081,"325,048","8,586","7,789",80'10”,24.63,99'11”,30.45,22.85999927,26.98457419,Wide,Flat,#N/A,
Flat Bottom,Wide Core,75,E4-075084,"338,692","8,947","8,116",84'6”,25.75,103'7”,31.58,22.85999927,27.02436691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,75,E4-075088,"352,336","9,307","8,443",88'2”,26.87,107'2”,32.67,22.85999927,26.90490426,Wide,Flat,#N/A,
Flat Bottom,Wide Core,78,E4-078033,"160,791","4,247","3,853",33'2”,10.11,53'1”,16.18,23.77439924,27.05036999,Wide,Flat,9,
Flat Bottom,Wide Core,78,E4-078040,"190,307","5,027","4,560",40'6”,12.34,60'5”,18.41,23.77439924,27.05036999,Wide,Flat,#N/A,
Flat Bottom,Wide Core,78,E4-078044,"205,065","5,417","4,914",44'2”,13.46,64'1”,19.54,23.77439924,27.08858794,Wide,Flat,#N/A,
Flat Bottom,Wide Core,78,E4-078051,"234,581","6,197","5,621",51'6”,15.69,71'5”,21.76,23.77439924,27.05036999,Wide,Flat,#N/A,
Flat Bottom,Wide Core,78,E4-078055,"249,339","6,586","5,975",55'2”,16.81,75'1”,22.89,23.77439924,27.08858794,Wide,Flat,#N/A,
Flat Bottom,Wide Core,78,E4-078059,"264,097","6,976","6,329",58'10”,17.93,78'10”,24.02,23.77439924,27.12677982,Wide,Flat,#N/A,
Flat Bottom,Wide Core,78,E4-078062,"278,855","7,366","6,682",62'6”,19.05,82'5”,25.12,23.77439924,27.05036999,Wide,Flat,#N/A,
Flat Bottom,Wide Core,78,E4-078066,"293,613","7,756","7,036",66'2”,20.16,86'1”,26.24,23.77439924,27.08858794,Wide,Flat,#N/A,
Flat Bottom,Wide Core,78,E4-078070,"308,370","8,146","7,390",69'10”,21.28,89'10”,27.37,23.77439924,27.12677982,Wide,Flat,#N/A,
Flat Bottom,Wide Core,78,E4-078073,"323,128","8,536","7,743",73'6”,22.4,93'5”,28.47,23.77439924,27.05036999,Wide,Flat,#N/A,
Flat Bottom,Wide Core,78,E4-078077,"337,886","8,925","8,097",77'2”,23.52,97'1”,29.6,23.77439924,27.08858794,Wide,Flat,#N/A,
Flat Bottom,Wide Core,78,E4-078081,"352,644","9,315","8,451",80'10”,24.63,100'10”,30.72,23.77439924,27.12677982,Wide,Flat,#N/A,
Flat Bottom,Wide Core,78,E4-078084,"367,402","9,705","8,804",84'6”,25.75,104'5”,31.82,23.77439924,27.05036999,Wide,Flat,#N/A,
Flat Bottom,Wide Core,78,E4-078088,"382,160","10,095","9,158",88'2”,26.87,108'1”,32.95,23.77439924,27.08858794,Wide,Flat,#N/A,
Flat Bottom,Wide Core,90,E4-090037,"239,406","6,324","5,737",36'10”,11.22,60'2”,18.35,27.43199912,27.46680329,Wide,Flat,10,
Flat Bottom,Wide Core,90,E4-090044,"278,706","7,362","6,679",44'2”,13.46,67'6”,20.57,27.43199912,27.40099147,Wide,Flat,#N/A,
Flat Bottom,Wide Core,90,E4-090048,"298,355","7,881","7,150",47'10”,14.58,71'2”,21.7,27.43199912,27.43390719,Wide,Flat,#N/A,
Flat Bottom,Wide Core,90,E4-090051,"318,005","8,400","7,621",51'6”,15.69,74'11”,22.83,27.43199912,27.49967976,Wide,Flat,#N/A,
Flat Bottom,Wide Core,90,E4-090055,"337,654","8,919","8,091",55'2”,16.81,78'6”,23.93,27.43199912,27.43390719,Wide,Flat,#N/A,
Flat Bottom,Wide Core,90,E4-090059,"357,304","9,438","8,562",58'10”,17.93,82'2”,25.05,27.43199912,27.43390719,Wide,Flat,#N/A,
Flat Bottom,Wide Core,90,E4-090062,"376,954","9,957","9,033",62'6”,19.05,85'11”,26.18,27.43199912,27.46680329,Wide,Flat,#N/A,
Flat Bottom,Wide Core,90,E4-090066,"396,603","10,476","9,504",66'2”,20.16,89'6”,27.28,27.43199912,27.43390719,Wide,Flat,#N/A,
Flat Bottom,Wide Core,90,E4-090070,"416,253","10,995","9,975",69'10”,21.28,93'2”,28.41,27.43199912,27.46680329,Wide,Flat,#N/A,
Flat Bottom,Wide Core,90,E4-090073,"435,903","11,515","10,446",73'6”,22.4,96'11”,29.54,27.43199912,27.49967976,Wide,Flat,#N/A,
Flat Bottom,Wide Core,90,E4-090077,"455,552","12,034","10,917",77'2”,23.52,100'6”,30.63,27.43199912,27.40099147,Wide,Flat,#N/A,
Flat Bottom,Wide Core,90,E4-090081,"475,202","12,553","11,388",80'10”,24.63,104'2”,31.76,27.43199912,27.46680329,Wide,Flat,#N/A,
Flat Bottom,Wide Core,90,E4-090084,"494,851","13,072","11,859",84'6”,25.75,107'11”,32.89,27.43199912,27.49967976,Wide,Flat,#N/A,
Flat Bottom,Wide Core,90,E4-090088,"514,501","13,591","12,329",88'2”,26.87,111'6”,33.99,27.43199912,27.43390719,Wide,Flat,#N/A,
Flat Bottom,Wide Core,105,E4-105037,"335,527","8,863","8,041",36'10”,11.22,64'6”,19.66,32.00399898,27.80869237,Wide,Flat,10,
Flat Bottom,Wide Core,105,E4-105044,"389,022","10,276","9,322",44'2”,13.46,71'11”,21.92,32.00399898,27.86468876,Wide,Flat,#N/A,
Flat Bottom,Wide Core,105,E4-105048,"415,769","10,983","9,963",47'10”,14.58,75'6”,23.01,32.00399898,27.78067251,Wide,Flat,#N/A,
Flat Bottom,Wide Core,105,E4-105051,"442,516","11,689","10,604",51'6”,15.69,79'2”,24.14,32.00399898,27.83669779,Wide,Flat,#N/A,
Flat Bottom,Wide Core,105,E4-105055,"469,264","12,396","11,245",55'2”,16.81,82'11”,25.27,32.00399898,27.86468876,Wide,Flat,#N/A,
Flat Bottom,Wide Core,105,E4-105059,"496,011","13,102","11,886",58'10”,17.93,86'6”,26.37,32.00399898,27.80869237,Wide,Flat,#N/A,
Flat Bottom,Wide Core,105,E4-105062,"522,758","13,809","12,527",62'6”,19.05,90'2”,27.49,32.00399898,27.80869237,Wide,Flat,#N/A,
Flat Bottom,Wide Core,105,E4-105066,"549,505","14,515","13,168",66'2”,20.16,93'11”,28.62,32.00399898,27.86468876,Wide,Flat,#N/A,
Flat Bottom,Wide Core,105,E4-105070,"576,253","15,222","13,809",69'10”,21.28,97'6”,29.72,32.00399898,27.80869237,Wide,Flat,#N/A,
Flat Bottom,Wide Core,105,E4-105073,"603,000","15,928","14,450",73'6”,22.4,101'2”,30.85,32.00399898,27.83669779,Wide,Flat,#N/A,
Flat Bottom,Wide Core,105,E4-105077,"629,747","16,635","15,091",77'2”,23.52,104'11”,31.97,32.00399898,27.83669779,Wide,Flat,#N/A,
Flat Bottom,Wide Core,105,E4-105081,"656,494","17,342","15,732",80'10”,24.63,108'6”,33.07,32.00399898,27.80869237,Wide,Flat,#N/A,
Flat Bottom,Wide Core,105,E4-105084,"683,242","18,048","16,373",84'6”,25.75,112'2”,34.2,32.00399898,27.83669779,Wide,Flat,#N/A,
Flat Bottom,Narrow Core,15,E-01507,"2,978",79,71,"18'10""",5.73,"22'8""",6.92,4.571999854,27.49967976,Narrow,Flat,7,
Flat Bottom,Narrow Core,15,E-01510,"4,165",110,100,"26'10""",8.17,"30'8""",9.36,4.571999854,27.49967976,Narrow,Flat,10,
Flat Bottom,Narrow Core,15,E-01513,"5,353",141,128,"34'10""",10.61,"38'8""",11.8,4.571999854,27.49967976,Narrow,Flat,13,
Flat Bottom,Narrow Core,15,E-01516,"6,540",173,157,"42'10""",13.05,"46'8""",14.23,4.571999854,27.30212664,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,15,E-01519,"7,728",204,185,"50'10""",15.48,"54'8""",16.67,4.571999854,27.49967976,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,15,E-01522,"8,916",236,214,"58'10""",17.92,"62'8""",19.11,4.571999854,27.49967976,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,18,E-01807,"4,347",115,104,"18'10""",5.73,"23'6""",7.16,5.486399824,27.5325366,Narrow,Flat,7,
Flat Bottom,Narrow Core,18,E-01810,"6,058",160,145,"26'10""",8.17,"31'6""",9.6,5.486399824,27.5325366,Narrow,Flat,10,
Flat Bottom,Narrow Core,18,E-01813,"7,769",205,186,"34'10""",10.61,"39'6""",12.04,5.486399824,27.5325366,Narrow,Flat,13,
Flat Bottom,Narrow Core,18,E-01816,"9,480",250,227,"42'10""",13.05,"47'6""",14.48,5.486399824,27.5325366,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,18,E-01819,"11,191",296,268,"50'10""",15.48,"55'6""",16.92,5.486399824,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,18,E-01822,"12,902",341,309,"58'10""",17.92,"63'6""",19.35,5.486399824,27.5325366,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,18,E-01825,"14,613",386,350,"66'10""",20.36,"71'6""",21.79,5.486399824,27.5325366,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,18,E-01826,"15,184",401,364,"69'6""",21.18,"74'2""",22.62,5.486399824,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,21,E-02107,"5,995",158,144,"18'10""",5.73,"24'5""",7.44,6.400799795,28.11595691,Narrow,Flat,7,
Flat Bottom,Narrow Core,21,E-02111,"9,102",240,218,"29'6""",8.99,"35'1""",10.7,6.400799795,28.11595691,Narrow,Flat,11,
Flat Bottom,Narrow Core,21,E-02115,"12,209",322,293,"40'2""",12.25,"45'8""",13.93,6.400799795,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,21,E-02118,"14,538",384,348,"48'2""",14.69,"53'8""",16.37,6.400799795,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,21,E-02121,"16,868",446,404,"56'2""",17.13,"61'8""",18.81,6.400799795,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,21,E-02124,"19,198",507,460,"64'2""",19.57,"69'8""",21.24,6.400799795,27.55599376,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,21,E-02127,"21,528",569,516,"72'2""",22.01,"77'8""",23.68,6.400799795,27.55599376,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,21,E-02130,"23,858",630,572,"80'2""",24.44,"85'8""",26.12,6.400799795,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,24,E-02407,"7,934",210,190,"18'10""",5.73,"25'4""",7.71,7.315199766,28.42839377,Narrow,Flat,7,
Flat Bottom,Narrow Core,24,E-02411,"11,992",317,287,"29'6""",8.99,"35'11""",10.94,7.315199766,28.06370599,Narrow,Flat,11,
Flat Bottom,Narrow Core,24,E-02415,"16,051",424,385,"40'2""",12.25,"46'7""",14.2,7.315199766,28.06370599,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,24,E-02419,"20,110",531,482,"50'10""",15.48,"57'4""",17.47,7.315199766,28.54940189,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,24,E-02423,"24,168",638,579,"61'6""",18.75,"67'11""",20.7,7.315199766,28.06370599,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,24,E-02427,"28,227",746,676,"72'2""",22.01,"78'7""",23.96,7.315199766,28.06370599,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,24,E-02431,"32,286",853,774,"82'10""",25.24,"89'4""",27.22,7.315199766,28.42839377,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,24,E-02435,"36,345",960,871,"93'6""",28.5,"99'11""",30.45,7.315199766,28.06370599,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,27,E-02707,"10,171",269,244,"18'10""",5.73,"26'1""",7.96,8.229599737,28.45530844,Narrow,Flat,7,
Flat Bottom,Narrow Core,27,E-02711,"15,309",404,367,"29'6""",8.99,"36'10""",11.22,8.229599737,28.45530844,Narrow,Flat,11,
Flat Bottom,Narrow Core,27,E-02715,"20,447",540,490,"40'2""",12.25,"47'6""",14.48,8.229599737,28.45530844,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,27,E-02719,"25,585",676,613,"50'10""",15.48,"58'1""",17.71,8.229599737,28.45530844,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,27,E-02723,"30,722",812,736,"61'6""",18.75,"68'10""",20.97,8.229599737,28.34756761,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,27,E-02727,"35,860",947,859,"72'2""",22.01,"79'6""",24.23,8.229599737,28.34756761,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,27,E-02731,"40,998","1,083",982,"82'10""",25.24,"90'1""",27.46,8.229599737,28.34756761,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,27,E-02735,"46,136","1,219","1,106","93'6""",28.5,"100'10""",30.72,8.229599737,28.34756761,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,27,E-02739,"51,274","1,354","1,229","104'2""",31.76,"111'6""",33.99,8.229599737,28.45530844,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,30,E-03007,"12,716",336,305,"18'10""",5.73,"27'0""",8.23,9.143999707,28.67013255,Narrow,Flat,7,
Flat Bottom,Narrow Core,30,E-03011,"19,060",503,457,"29'6""",8.99,"37'8""",11.49,9.143999707,28.67013255,Narrow,Flat,11,
Flat Bottom,Narrow Core,30,E-03015,"25,405",671,609,"40'2""",12.25,"48'4""",14.72,9.143999707,28.37991287,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,30,E-03019,"31,749",839,761,"50'10""",15.48,"59'0""",17.98,9.143999707,28.67013255,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,30,E-03023,"38,093","1,006",913,"61'6""",18.75,"69'8""",21.24,9.143999707,28.57357022,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,30,E-03027,"44,437","1,174","1,065","72'2""",22.01,"80'4""",24.48,9.143999707,28.37991287,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,30,E-03031,"50,782","1,341","1,217","82'10""",25.24,"91'0""",27.74,9.143999707,28.67013255,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,30,E-03035,"57,126","1,509","1,369","93'6""",28.5,"101'8""",31,9.143999707,28.67013255,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,30,E-03039,"63,470","1,677","1,521","104'2""",31.76,"112'4""",34.23,9.143999707,28.37991287,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,30,E-03040,"65,056","1,718","1,559","106'10""",32.55,"115'0""",35.05,9.143999707,28.67013255,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,33,E-03307,"15,579",412,373,"18'10""",5.73,"27'11""",8.5,10.05839968,28.84524525,Narrow,Flat,7,
Flat Bottom,Narrow Core,33,E-03311,"23,257",614,557,"29'6""",8.99,"38'6""",11.73,10.05839968,28.58235596,Narrow,Flat,11,
Flat Bottom,Narrow Core,33,E-03315,"30,934",817,741,"40'2""",12.25,"49'2""",15,10.05839968,28.67013255,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,33,E-03319,"38,612","1,020",925,"50'10""",15.48,"59'11""",18.26,10.05839968,28.93258128,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,33,E-03323,"46,290","1,223","1,109","61'6""",18.75,"70'6""",21.49,10.05839968,28.58235596,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,33,E-03327,"53,968","1,426","1,293","72'2""",22.01,"81'2""",24.75,10.05839968,28.58235596,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,33,E-03331,"61,645","1,628","1,477","82'10""",25.24,"91'11""",28.01,10.05839968,28.84524525,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,33,E-03335,"69,323","1,831","1,661","93'6""",28.5,"102'6""",31.24,10.05839968,28.58235596,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,33,E-03339,"77,001","2,034","1,845","104'2""",31.76,"113'2""",34.5,10.05839968,28.58235596,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,33,E-03340,"78,920","2,085","1,891","106'10""",32.55,"115'11""",35.33,10.05839968,28.93258128,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,36,E-03607,"18,769",496,450,"18'10""",5.73,"28'8""",8.75,10.97279965,28.83067497,Narrow,Flat,7,
Flat Bottom,Narrow Core,36,E-03610,"25,623",677,614,"26'10""",8.17,"36'8""",11.19,10.97279965,28.83067497,Narrow,Flat,10,
Flat Bottom,Narrow Core,36,E-03613,"32,476",858,778,"34'10""",10.61,"44'8""",13.62,10.97279965,28.75046546,Narrow,Flat,13,
Flat Bottom,Narrow Core,36,E-03616,"39,330","1,039",943,"42'10""",13.05,"52'8""",16.06,10.97279965,28.75046546,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,36,E-03619,"46,184","1,220","1,107","50'10""",15.48,"60'8""",18.5,10.97279965,28.83067497,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,36,E-03622,"53,037","1,401","1,271","58'10""",17.92,"68'8""",20.94,10.97279965,28.83067497,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,36,E-03625,"59,891","1,582","1,435","66'10""",20.36,"76'8""",23.38,10.97279965,28.83067497,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,36,E-03628,"66,745","1,763","1,599","74'10""",22.8,"84'8""",25.82,10.97279965,28.83067497,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,36,E-03631,"73,599","1,944","1,764","82'10""",25.24,"92'8""",28.25,10.97279965,28.75046546,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,36,E-03634,"80,452","2,125","1,928","90'10""",27.68,"100'8""",30.69,10.97279965,28.75046546,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,36,E-03637,"87,306","2,306","2,092","98'10""",30.11,"108'8""",33.13,10.97279965,28.83067497,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,36,E-03639,"91,875","2,427","2,202","104'2""",31.76,"114'0""",34.75,10.97279965,28.58967628,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,36,E-03640,"94,160","2,487","2,256","106'10""",32.55,"116'8""",35.57,10.97279965,28.83067497,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,42,E-04208,"29,279",773,702,"21'6""",6.55,"33'2""",10.12,12.80159959,29.15027847,Narrow,Flat,8,
Flat Bottom,Narrow Core,42,E-04211,"38,609","1,020",925,"29'6""",8.99,"41'2""",12.56,12.80159959,29.15027847,Narrow,Flat,11,
Flat Bottom,Narrow Core,42,E-04214,"47,940","1,266","1,149","37'6""",11.43,"49'2""",15,12.80159959,29.15027847,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,42,E-04217,"57,270","1,513","1,372","45'6""",13.87,"57'2""",17.43,12.80159959,29.08195834,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,42,E-04220,"66,600","1,759","1,596","53'6""",16.31,"65'2""",19.87,12.80159959,29.08195834,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,42,E-04223,"75,931","2,006","1,820","61'6""",18.75,"73'2""",22.31,12.80159959,29.08195834,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,42,E-04226,"85,261","2,252","2,043","69'6""",21.18,"81'2""",24.75,12.80159959,29.15027847,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,42,E-04229,"94,592","2,499","2,267","77'6""",23.62,"89'2""",27.19,12.80159959,29.15027847,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,42,E-04232,"103,922","2,745","2,490","85'6""",26.06,"97'2""",29.63,12.80159959,29.15027847,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,42,E-04235,"113,253","2,992","2,714","93'6""",28.5,"105'2""",32.06,12.80159959,29.08195834,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,42,E-04238,"122,583","3,238","2,938","101'6""",30.94,"113'2""",34.5,12.80159959,29.08195834,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,42,E-04239,"125,693","3,320","3,012","104'2""",31.76,"115'10""",35.3,12.80159959,28.94504587,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,42,E-04240,"128,803","3,402","3,087","106'10""",32.55,"118'6""",36.12,12.80159959,29.15027847,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,48,E-04808,"39,053","1,032",936,"21'6""",6.55,"33'10""",10.3,14.63039953,27.14109506,Narrow,Flat,8,
Flat Bottom,Narrow Core,48,E-04811,"51,241","1,354","1,228","29'6""",8.99,"41'10""",12.74,14.63039953,27.14109506,Narrow,Flat,11,
Flat Bottom,Narrow Core,48,E-04814,"63,430","1,676","1,520","37'6""",11.43,"49'10""",15.18,14.63039953,27.14109506,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,48,E-04817,"75,618","1,997","1,812","45'6""",13.87,"57'10""",17.62,14.63039953,27.14109506,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,48,E-04820,"87,807","2,319","2,104","53'6""",16.31,"65'10""",20.06,14.63039953,27.14109506,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,48,E-04823,"99,995","2,641","2,396","61'6""",18.75,"73'10""",22.49,14.63039953,27.07903589,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,48,E-04826,"112,184","2,963","2,688","69'6""",21.18,"81'10""",24.93,14.63039953,27.14109506,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,48,E-04829,"124,372","3,285","2,980","77'6""",23.62,"89'10""",27.37,14.63039953,27.14109506,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,48,E-04830,"128,435","3,393","3,078","80'2""",24.44,"92'6""",28.19,14.63039953,27.14109506,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,48,E-04832,"136,561","3,607","3,273","85'6""",26.06,"97'10""",29.81,14.63039953,27.14109506,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,48,E-04833,"140,623","3,715","3,370","88'2""",26.88,"100'6""",30.63,14.63039953,27.14109506,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,48,E-04835,"148,749","3,929","3,565","93'6""",28.5,"105'10""",32.25,14.63039953,27.14109506,Narrow,Flat,#N/A,
