Type,Subtype,Diameter (ft),Bin Model,Bushels,U.S. Tons Corn,Metric Tons Corn,"Eave Height (ft, inches)",Eave Height (m),"Fill Height (ft, inches)",Fill Height (m),Diameter (m),Roof Angle (degrees),Corrugation,Bottom,Rings,
Hopper Bottom,60°,18,EH-18017,"11,028",291,264,62'1”,18.93,66'10”,20.37,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18018,"11,599",306,278,64'9”,19.74,69'6”,21.18,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18019,"12,169",321,292,67'5”,20.56,72'2”,22,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18020,"12,740",337,305,70'1”,21.37,74'10”,22.81,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18021,"13,310",352,319,72'9”,22.18,77'6”,23.62,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21006,"6,815",180,163,35'4”,10.77,40'11”,12.47,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21007,"7,592",201,182,38'0”,11.58,43'7”,13.28,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21008,"8,369",221,201,40'8”,12.39,46'3”,14.09,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21009,"9,146",242,219,43'4”,13.2,48'11”,14.91,6.400799795,28.11595691,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21010,"9,923",262,238,46'0”,14.02,51'7”,15.72,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21011,"10,700",283,256,48'8”,14.83,54'3”,16.53,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21012,"11,477",303,275,51'4”,15.64,56'11”,17.34,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21013,"12,254",324,294,54'0”,16.46,59'7”,18.16,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21014,"13,030",344,312,56'8”,17.27,62'3”,18.97,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21015,"13,807",365,331,59'4”,18.08,64'11”,19.78,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21016,"14,584",385,349,62'0”,18.89,67'7”,20.6,6.400799795,28.11595691,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21017,"15,361",406,368,64'8”,19.71,70'3”,21.41,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21018,"16,138",426,387,67'4”,20.52,72'11”,22.22,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21019,"16,915",447,405,70'0”,21.33,75'7”,23.03,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21020,"17,692",467,424,72'8”,22.14,78'3”,23.85,6.400799795,28.11595691,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21021,"18,469",488,443,75'4”,22.96,80'11”,24.66,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21022,"19,246",508,461,78'0”,23.77,83'7”,25.47,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15306,"2,909",77,70,25'6”,7.77,29'4”,8.95,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15307,"3,305",87,79,28'2”,8.58,32'0”,9.76,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15308,"3,701",98,89,30'10”,9.4,34'8”,10.57,4.571999854,27.10386782,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15309,"4,097",108,98,33'6”,10.21,37'4”,11.39,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15310,"4,493",119,108,36'2”,11.02,40'0”,12.2,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15311,"4,889",129,117,38'10”,11.84,42'8”,13.01,4.571999854,27.10386782,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15312,"5,285",140,127,41'6”,12.65,45'4”,13.83,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15313,"5,681",150,136,44'2”,13.46,48'0”,14.64,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15314,"6,077",161,146,46'10”,14.27,50'8”,15.45,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15315,"6,473",171,155,49'6”,15.09,53'4”,16.26,4.571999854,27.10386782,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15316,"6,869",181,165,52'2”,15.9,56'0”,17.08,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15317,"7,265",192,174,54'10”,16.71,58'8”,17.89,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15318,"7,661",202,184,57'6”,17.52,61'4”,18.7,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15319,"8,057",213,193,60'2”,18.34,64'0”,19.52,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18306,"4,362",115,105,27'1”,8.24,31'9”,9.68,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18307,"4,933",130,118,29'9”,9.06,34'5”,10.5,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18308,"5,504",145,132,32'5”,9.87,37'1”,11.31,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18309,"6,074",160,146,35'1”,10.68,39'9”,12.12,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18310,"6,645",176,159,37'9”,11.49,42'5”,12.93,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18311,"7,215",191,173,40'5”,12.31,45'1”,13.75,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18312,"7,786",206,187,43'1”,13.12,47'9”,14.56,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18313,"8,357",221,200,45'9”,13.93,50'5”,15.37,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18314,"8,927",236,214,48'5”,14.75,53'1”,16.19,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18315,"9,498",251,228,51'1”,15.56,55'9”,17,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18316,"10,068",266,241,53'9”,16.37,58'5”,17.81,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18317,"10,639",281,255,56'5”,17.18,61'1”,18.62,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18318,"11,210",296,269,59'1”,18,63'9”,19.44,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18319,"11,780",311,282,61'9”,18.81,66'5”,20.25,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18320,"12,351",326,296,64'5”,19.62,69'1”,21.06,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18321,"12,921",341,310,67'1”,20.44,71'9”,21.88,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18322,"13,492",356,323,69'9”,21.25,74'5”,22.69,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21306,"6,140",162,147,28'7”,8.71,34'2”,10.41,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21307,"6,917",183,166,31'3”,9.52,36'10”,11.23,6.400799795,28.11595691,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21308,"7,693",203,184,33'11”,10.34,39'6”,12.04,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21309,"8,470",224,203,36'7”,11.15,42'2”,12.85,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21310,"9,247",244,222,39'3”,11.96,44'10”,13.66,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21311,"10,024",265,240,41'11”,12.77,47'6”,14.48,6.400799795,28.11595691,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21312,"10,801",285,259,44'7”,13.59,50'2”,15.29,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21313,"11,578",306,277,47'3”,14.4,52'10”,16.1,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21314,"12,355",326,296,49'11”,15.21,55'6”,16.91,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21315,"13,132",347,315,52'7”,16.03,58'2”,17.73,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21316,"13,909",367,333,55'3”,16.84,60'10”,18.54,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21317,"14,686",388,352,57'11”,17.65,63'6”,19.35,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21318,"15,462",408,371,60'7”,18.46,66'2”,20.17,6.400799795,28.11595691,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21319,"16,239",429,389,63'3”,19.28,68'10”,20.98,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21320,"17,016",449,408,65'11”,20.09,71'6”,21.79,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21321,"17,793",470,426,68'7”,20.9,74'2”,22.6,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21322,"18,570",491,445,71'3”,21.72,76'10”,23.42,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24306,"8,332",220,200,30'1”,9.17,36'6”,11.14,7.315199766,28.30710832,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24307,"9,347",247,224,32'9”,9.98,39'2”,11.95,7.315199766,28.30710832,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24308,"10,362",274,248,35'5”,10.8,41'10”,12.76,7.315199766,28.18554568,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24309,"11,377",301,273,38'1”,11.61,44'6”,13.57,7.315199766,28.18554568,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24310,"12,392",327,297,40'9”,12.42,47'2”,14.39,7.315199766,28.30710832,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24311,"13,407",354,321,43'5”,13.23,49'10”,15.2,7.315199766,28.30710832,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24312,"14,422",381,346,46'1”,14.05,52'6”,16.01,7.315199766,28.18554568,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24313,"15,437",408,370,48'9”,14.86,55'2”,16.82,7.315199766,28.18554568,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24314,"16,452",435,394,51'5”,15.67,57'10”,17.64,7.315199766,28.30710832,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24315,"17,467",461,419,54'1”,16.49,60'6”,18.45,7.315199766,28.18554568,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24316,"18,482",488,443,56'9”,17.3,63'2”,19.26,7.315199766,28.18554568,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24317,"19,497",515,467,59'5”,18.11,65'10”,20.08,7.315199766,28.30710832,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24318,"20,512",542,492,62'1”,18.92,68'6”,20.89,7.315199766,28.30710832,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24319,"21,527",569,516,64'9”,19.74,71'2”,21.7,7.315199766,28.18554568,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24320,"22,542",595,540,67'5”,20.55,73'10”,22.51,7.315199766,28.18554568,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24321,"23,557",622,565,70'1”,21.36,76'6”,23.33,7.315199766,28.30710832,Narrow,Hopper,#N/A,
Hopper Bottom,45°,24,EH-24322,"24,572",649,589,72'9”,22.18,79'2”,24.14,7.315199766,28.18554568,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27406,"10,622",281,255,29'7”,9.01,36'10”,11.24,8.229599737,28.45530844,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27407,"11,907",315,285,32'3”,9.82,39'6”,12.05,8.229599737,28.45530844,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27408,"13,191",348,316,34'11”,10.63,42'2”,12.86,8.229599737,28.45530844,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27409,"14,476",382,347,37'7”,11.45,44'10”,13.67,8.229599737,28.34756761,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27410,"15,761",416,378,40'3”,12.26,47'6”,14.49,8.229599737,28.45530844,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27411,"17,046",450,408,42'11”,13.07,50'2”,15.3,8.229599737,28.45530844,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27412,"18,330",484,439,45'7”,13.89,52'10”,16.11,8.229599737,28.34756761,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27413,"19,615",518,470,48'3”,14.7,55'6”,16.93,8.229599737,28.45530844,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27414,"20,900",552,501,50'11”,15.51,58'2”,17.74,8.229599737,28.45530844,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27415,"22,185",586,532,53'7”,16.32,60'10”,18.55,8.229599737,28.45530844,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27416,"23,470",620,562,56'3”,17.14,63'6”,19.36,8.229599737,28.34756761,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27417,"24,754",654,593,58'11”,17.95,66'2”,20.18,8.229599737,28.45530844,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27418,"26,039",688,624,61'7”,18.76,68'10”,20.99,8.229599737,28.45530844,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27419,"27,324",722,655,64'3”,19.58,71'6”,21.8,8.229599737,28.34756761,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27420,"28,609",756,686,66'11”,20.39,74'2”,22.62,8.229599737,28.45530844,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27421,"29,893",790,716,69'7”,21.2,76'10”,23.43,8.229599737,28.45530844,Narrow,Hopper,#N/A,
Hopper Bottom,40°,27,EH-27422,"31,178",824,747,72'3”,22.01,79”-6”,24.24,8.229599737,28.45530844,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30406,"13,527",357,324,30'10”,9.39,39'0”,11.89,9.143999707,28.67013255,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30407,"15,113",399,362,32'6”,10.21,41'8”,12.7,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30408,"16,700",441,400,36'2”,11.02,44'4”,13.51,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30409,"18,286",483,438,38'10”,11.83,47'0”,14.32,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30410,"19,873",525,476,41'6”,12.65,49'8”,15.14,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30411,"21,459",567,514,44'2”,13.46,52'4”,15.95,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30412,"23,045",609,552,46'10”,14.27,55'0”,16.76,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30413,"24,632",651,590,49'6”,15.08,57'8”,17.57,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30414,"26,218",693,628,52'2”,15.9,60'4”,18.39,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30415,"27,805",734,666,54'10”,16.71,63'0”,19.2,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30416,"29,391",776,704,57'6”,17.52,65'8”,20.01,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30417,"30,977",818,742,60'2”,18.34,68'4”,20.83,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30418,"32,564",860,780,62'10”,19.15,71'0”,21.64,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30419,"34,150",902,818,65'6”,19.96,73'8”,22.45,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30420,"35,737",944,856,68'2”,20.77,76'4”,23.26,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30421,"37,323",986,894,70'10”,21.59,79'0”,24.08,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30422,"38,909","1,028",932,73'6”,22.4,81'8”,24.89,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,30,EH-30423,"40,496","1,070",970,76'2”,23.22,84'4”,25.71,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36406,"20,502",542,491,33'2”,10.11,43'1”,13.13,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36407,"22,787",602,546,35'10”,10.92,45'9”,13.94,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36408,"25,072",662,601,38'6”,11.74,48'5”,14.75,10.97279965,28.75046546,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36409,"27,357",723,656,41'2”,12.55,51'1”,15.56,10.97279965,28.75046546,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36410,"29,642",783,710,43'10”,13.36,53'9”,16.38,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36411,"31,927",843,765,46'6”,14.17,56'5”,17.19,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36412,"34,212",904,820,49'2”,14.99,59'1”,18,10.97279965,28.75046546,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36413,"36,497",964,875,51'10”,15.8,61'9”,18.82,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36414,"38,782","1,024",929,54'6”,16.61,64'5”,19.63,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36415,"41,067","1,085",984,57'2”,17.42,67'1”,20.44,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36416,"43,352","1,145","1,039",59'10”,18.24,69'9”,21.25,10.97279965,28.75046546,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36417,"45,637","1,206","1,094",62'6”,19.05,72'5”,22.07,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36418,"47,921","1,266","1,148",65'2”,19.86,75'1”,22.88,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36419,"50,206","1,326","1,203",67'10”,20.68,77'9”,23.69,10.97279965,28.75046546,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36420,"52,491","1,387","1,258",70'6”,21.49,80'5”,24.5,10.97279965,28.75046546,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36421,"54,776","1,447","1,313",73'2”,22.3,83'1”,25.32,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,40°,36,EH-36422,"57,061","1,507","1,367",75'10”,23.11,85'9”,26.13,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30506,"14,580",385,349,36'6”,11.12,44'8”,13.61,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30507,"16,167",427,387,39'2”,11.94,47'4”,14.43,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30508,"17,753",469,425,41'10”,12.75,50'0”,15.24,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30509,"19,340",511,463,44'6”,13.56,52'8”,16.05,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30510,"20,926",553,501,47'2”,14.37,55'4”,16.86,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30511,"22,512",595,539,49'10”,15.19,58'0”,17.68,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30512,"24,099",637,577,52'6”,16,60'8”,18.49,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30513,"25,685",678,616,55'2”,16.81,63'4”,19.3,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30514,"27,272",720,654,57'10”,17.63,66'0”,20.12,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30515,"28,858",762,692,60'6”,18.44,68'8”,20.93,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30516,"30,444",804,730,63'2”,19.25,71'4”,21.74,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30517,"32,031",846,768,65'10”,20.06,74'0”,22.55,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30518,"33,617",888,806,68'6”,20.88,76'8”,23.37,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30519,"35,204",930,844,71'2”,21.69,79'4”,24.18,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30520,"36,790",972,882,73'10”,22.5,82'0”,24.99,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30521,"38,376","1,014",920,76'6”,23.31,84'8”,25.81,9.143999707,28.67013255,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30522,"39,963","1,056",958,79'2”,24.13,87'4”,26.62,9.143999707,28.57357022,Narrow,Hopper,#N/A,
Hopper Bottom,50°,30,EH-30523,"41,549","1,098",996,81'10”,24.94,86'0”,27.13,9.143999707,25.5945439,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36506,"22,164",585,531,39'11”,12.16,49'10”,15.18,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36507,"24,449",646,586,42'7”,12.98,52'6”,15.99,10.97279965,28.75046546,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36508,"26,734",706,641,45'3”,13.79,55'2”,16.8,10.97279965,28.75046546,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36509,"29,019",767,695,47'11”,14.6,57'10”,17.62,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36510,"31,304",827,750,50'7”,15.41,60'6”,18.43,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36511,"33,589",887,805,53'3”,16.23,63'2”,19.24,10.97279965,28.75046546,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36512,"35,874",948,860,55'11”,17.04,65'10”,20.06,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36513,"38,159","1,008",914,58'7”,17.85,68'6”,20.87,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36514,"40,444","1,068",969,61'3”,18.67,71'2”,21.68,10.97279965,28.75046546,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36515,"42,729","1,129","1,024",63'11”,19.48,73'10”,22.49,10.97279965,28.75046546,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36516,"45,014","1,189","1,079",66'7”,20.29,76'6”,23.31,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36517,"47,299","1,249","1,133",69'3”,21.1,79'2”,24.12,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36518,"49,584","1,310","1,188",71'11”,21.92,81'10”,24.93,10.97279965,28.75046546,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36519,"51,868","1,370","1,243",74'7”,22.73,84'6”,25.75,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36520,"54,153","1,430","1,298",77'3”,23.54,87'2”,26.56,10.97279965,28.83067497,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36521,"56,438","1,491","1,352",79'11”,24.36,89'10”,27.37,10.97279965,28.75046546,Narrow,Hopper,#N/A,
Hopper Bottom,50°,36,EH-36522,"58,723","1,551","1,407",82'7”,25.17,92'6”,28.18,10.97279965,28.75046546,Narrow,Hopper,#N/A,
