Part Number,Category,Bin Model,Rings,Weight (lbs),Weight (kg),Capacity (bu),Capacity (tons),Diameter (ft),Diameter (m),Eave Height (ft),Eave Height (m),Peak Height (ft),Peak Height (m),Roof Angle (degrees),Corrugation,Bottom
232247,Commercial,Model 7815 Wide-Corr Centurion Bin,15,118400,53700,246650,6690,78,23.7744,55.2,16.82,77.2,23.53,29.44354217,Wide,Flat
232248,Commercial,Model 7816 Wide-Corr Centurion Bin,16,126800,57500,261420,7091,78,23.7744,58.8,17.93,80.8,24.64,29.44354217,Wide,Flat
232249,Commercial,Model 7817 Wide-Corr Centurion Bin,17,139600,63300,276280,7494,78,23.7744,62.5,19.06,84.5,25.77,29.44354217,Wide,Flat
232250,Commercial,Model 7818 Wide-Corr Centurion Bin,18,150000,68000,291050,7894,78,23.7744,66.2,20.17,88.2,26.88,29.44354217,Wide,Flat
232251,Commercial,Model 7819 Wide-Corr Centurion Bin,19,164100,74400,305820,8295,78,23.7744,69.9,21.29,91.9,28,29.44354217,Wide,Flat
232252,Commercial,Model 7820 Wide-Corr Centurion Bin,20,176000,79800,320590,8696,78,23.7744,73.5,22.41,95.5,29.12,29.44354217,Wide,Flat
232253,Commercial,Model 7821 Wide-Corr Centurion Bin,21,191800,86950,335360,9096,78,23.7744,77.2,23.53,99.2,30.24,29.44354217,Wide,Flat
232254,Commercial,Model 7822 Wide-Corr Centurion Bin,22,203700,91420,350140,9839,78,23.7744,80.9,24.64,102.9,31.42,29.6987665,Wide,Flat
232255,Commercial,Model 7823 Wide-Corr Centurion Bin,23,219700,99650,364910,9898,78,23.7744,84.5,25.76,106.8,32.47,29.44354217,Wide,Flat
232261,Commercial,Model 9009 Wide-Corr Centurion Bin,09,97600,44250,217200,5891,90,27.432,33.2,10.11,58.7,17.88,29.531193,Wide,Flat
232262,Commercial,Model 9010 Wide-Corr Centurion Bin,10,107800,48900,236870,6425,90,27.432,36.8,11.23,62.3,19,29.531193,Wide,Flat
232263,Commercial,Model 9011 Wide-Corr Centurion Bin,11,116300,52750,256540,6958,90,27.432,40.5,12.35,66,20.11,29.4995588,Wide,Flat
232264,Commercial,Model 9012 Wide-Corr Centurion Bin,12,127200,57650,27610,7492,90,27.432,44.2,13.46,69.7,21.23,29.531193,Wide,Flat
232265,Commercial,Model 9013 Wide-Corr Centurion Bin,13,137800,62500,295870,8025,90,27.432,47.8,14.58,73.3,22.35,29.531193,Wide,Flat
232266,Commercial,Model 9014 Wide-Corr Centurion Bin,14,152100,69000,315540,8559,90,27.432,51.5,15.7,77,23.47,29.531193,Wide,Flat
232267,Commercial,Model 9015 Wide-Corr Centurion Bin,15,165000,74850,335210,9092,90,27.432,55.2,16.82,80.7,24.58,29.4995588,Wide,Flat
232268,Commercial,Model 9016 Wide-Corr Centurion Bin,16,182100,82600,354980,9629,90,27.432,55.89,17.94,84.3,25.71,29.531193,Wide,Flat
232269,Commercial,Model 9017 Wide-Corr Centurion Bin,17,144200,88050,374650,10162,90,27.432,62.5,19.06,88,26.82,29.4995588,Wide,Flat
232270,Commercial,Model 9018 Wide-Corr Centurion Bin,18,211000,95700,394320,10696,90,27.432,66.2,20.17,91.7,27.94,29.531193,Wide,Flat
232271,Commercial,Model 9019 Wide-Corr Centurion Bin,19,245500,102250,413980,11229,90,27.432,69.9,21.29,95.3,29.06,29.531193,Wide,Flat
232272,Commercial,Model 9020 Wide-Corr Centurion Bin,20,245500,111350,433650,11762,90,27.432,73.5,22.41,99,30.18,29.531193,Wide,Flat
232273,Commercial,Model 9021 Wide-Corr Centurion Bin,21,260000,117950,453320,12296,90,27.432,77.2,23.53,102.7,31.3,29.531193,Wide,Flat
232274,Commercial,Model 9022 Wide-Corr Centurion Bin,22,280700,127300,472980,12829,90,27.432,80.9,24.65,106.3,32.41,29.4995588,Wide,Flat
232275,Commercial,Model 9023 Wide-Corr Centurion Bin,23,297600,134950,492650,13363,90,27.432,84.5,25.76,110,33.53,29.531193,Wide,Flat
232281,Commercial,Model 10509 Wide-Corr Centurion Bin,09,134400,60950,305450,8285,105,32.004,33.2,10.11,63.2,19.26,29.76107373,Wide,Flat
232282,Commercial,Model 10510 Wide-Corr Centurion Bin,10,146700,66500,332210,9011,105,32.004,36.8,11.23,66.9,20.38,29.76107373,Wide,Flat
232283,Commercial,Model 10512 Wide-Corr Centurion Bin,12,177300,73400,385750,9737,105,32.004,44.2,12.35,74.2,21.49,29.73408343,Wide,Flat
232283,Commercial,Model 10511 Wide-Corr Centurion Bin,11,161800,90400,358980,90400,105,32.004,40.5,13.46,70.5,22.61,29.76107373,Wide,Flat
232285,Commercial,Model 10513 Wide-Corr Centurion Bin,13,192800,87450,412520,11189,105,32.004,47.8,14.58,77.9,23.73,29.76107373,Wide,Flat
232286,Commercial,Model 10514 Wide-Corr Centurion Bin,14,210300,95350,439290,11915,105,32.004,51.5,15.7,81.5,24.85,29.76107373,Wide,Flat
232287,Commercial,Model 10515 Wide-Corr Centurion Bin,15,231000,104750,466210,12646,105,32.004,55.2,16.82,85.2,25.67,28.94504509,Wide,Flat
232288,Commercial,Model 10516 Wide-Corr Centurion Bin,16,248800,112850,492980,13372,105,32.004,59.9,17.94,88.9,27.1,29.7880495,Wide,Flat
232289,Commercial,Model 10517 Wide-Corr Centurion Bin,17,270300,122600,519750,14098,105,32.004,62.5,19.06,92.5,28.21,29.76107373,Wide,Flat
232290,Commercial,Model 10518 Wide-Corr Centurion Bin,18,131350,13150,546510,14824,105,32.004,66.2,20.17,96.2,29.32,29.76107373,Wide,Flat
232291,Commercial,Model 10519 Wide-Corr Centurion Bin,19,143500,143500,573280,15550,105,32.004,69.9,21.29,99.9,30.44,29.76107373,Wide,Flat
232292,Commercial,Model 10520 Wide-Corr Centurion Bin,20,338800,153650,600050,16276,105,32.004,73.5,22.41,103.5,31.56,29.76107373,Wide,Flat
232293,Commercial,Model 10521 Wide-Corr Centurion Bin,21,364900,165500,626820,17002,105,32.004,77.2,23.53,107.2,32.68,29.76107373,Wide,Flat
232294,Commercial,Model 10522 Wide-Corr Centurion Bin,22,387500,175700,653590,17728,105,32.004,80.9,24.65,110.9,33.79,29.73408343,Wide,Flat
232295,Commercial,Model 10523 Wide-Corr Centurion Bin,23,416400,188850,680360,18454,105,32.004,84.5,25.76,114.5,34.91,29.76107373,Wide,Flat
232451,Commercial,Model 10209 Wide-Corr Centurion Bin,09,125200,56800,286950,7783,102,31.0896,33.2,10.11,61.9,18.86,29.37469032,Wide,Flat
232452,Commercial,Model 10210 Wide-Corr Centurion Bin,10,137100,62200,312210,8468,102,31.0896,36.8,11.23,65.5,19.98,29.37469032,Wide,Flat
232453,Commercial,Model 10211 Wide-Corr Centurion Bin,11,151800,68850,337470,9154,102,31.0896,40.5,12.35,69.2,21.1,29.37469032,Wide,Flat
232454,Commercial,Model 10212 Wide-Corr Centurion Bin,12,166800,75650,362730,9839,102,31.0896,44.2,13.46,72.9,22.21,29.37469032,Wide,Flat
232455,Commercial,Model 10213 Wide-Corr Centurion Bin,13,181900,82500,388000,10524,102,31.0896,47.8,14.58,76.5,23.33,29.37469032,Wide,Flat
232456,Commercial,Model 10214 Wide-Corr Centurion Bin,14,197500,89600,413260,11209,102,31.0896,51.5,15.7,80.2,24.45,29.37469032,Wide,Flat
232457,Commercial,Model 10215 Wide-Corr Centurion Bin,15,217400,98600,438660,11898,102,31.0896,55.2,16.82,83.9,25.57,29.37469032,Wide,Flat
232458,Commercial,Model 10216 Wide-Corr Centurion Bin,16,233500,105900,463920,12583,102,31.0896,58.9,17.94,87.6,26.69,29.37469032,Wide,Flat
232459,Commercial,Model 10217 Wide-Corr Centurion Bin,17,254500,115400,489180,13269,102,31.0896,62.5,19.06,91.2,27.81,29.37469032,Wide,Flat
232460,Commercial,Model 10218 Wide-Corr Centurion Bin,18,273200,123900,514440,13954,102,31.0896,66.2,20.17,94.9,28.93,29.40267263,Wide,Flat
232461,Commercial,Model 10219 Wide-Corr Centurion Bin,19,296200,134350,539700,14639,102,31.0896,69.9,21.29,98.6,30.01,29.29065101,Wide,Flat
232462,Commercial,Model 10220 Wide-Corr Centurion Bin,20,317600,144050,564960,15324,102,31.0896,73.5,22.41,102.2,31.16,29.37469032,Wide,Flat
232463,Commercial,Model 10221 Wide-Corr Centurion Bin,21,343200,155650,590230,16009,102,31.0896,77.2,24.65,105.9,32.28,26.14362266,Wide,Flat
232464,Commercial,Model 10222 Wide-Corr Centurion Bin,22,364800,165450,615490,16695,102,31.0896,80.9,24.65,109.6,33.4,29.37469032,Wide,Flat
232465,Commercial,Model 10223 Wide-Corr Centurion Bin,23,393300,178400,640750,17380,102,31.0896,84.5,25.76,113.2,34.51,29.37469032,Wide,Flat
232471,Commercial,Model 10809 Wide-Corr Centurion Bin,09,140000,63500,325560,8830,108,32.9184,33.2,10.11,63.6,19.39,29.41510428,Wide,Flat
232472,Commercial,Model 10810 Wide-Corr Centurion Bin,10,154900,70250,353880,9599,108,32.9184,36.8,11.23,67.3,20.5,29.3886834,Wide,Flat
232473,Commercial,Model 10811 Wide-Corr Centurion Bin,11,170200,77200,382200,10367,108,32.9184,40.5,12.35,70.9,21.62,29.3886834,Wide,Flat
232474,Commercial,Model 10812 Wide-Corr Centurion Bin,12,186100,84400,410520,11135,108,32.9184,44.2,13.46,74.6,22.74,29.41510428,Wide,Flat
232475,Commercial,Model 10813 Wide-Corr Centurion Bin,13,203600,92350,438840,11903,108,32.9184,47.8,14.58,78.3,23.86,29.41510428,Wide,Flat
232476,Commercial,Model 10814 Wide-Corr Centurion Bin,14,225300,102200,467160,12671,108,32.9184,51.5,15.7,81.9,24.97,29.3886834,Wide,Flat
232478,Commercial,Model 10816 Wide-Corr Centurion Bin,16,262700,119150,523960,14212,108,32.9184,58.9,17.94,89.3,27.22,29.41510428,Wide,Flat
232479,Commercial,Model 10817 Wide-Corr Centurion Bin,17,284800,129200,552280,14212,108,32.9184,62.5,17.94,93,27.22,29.41510428,Wide,Flat
232480,Commercial,Model 10818 Wide-Corr Centurion Bin,18,307900,139600,580600,15748,108,32.9184,66.2,20.17,96.6,29.45,29.41510428,Wide,Flat
232481,Commercial,Model 10819 Wide-Corr Centurion Bin,19,335300,152050,608920,16516,108,32.9184,69.9,21.29,100.3,30.57,29.41510428,Wide,Flat
232482,Commercial,Model 10820 Wide-Corr Centurion Bin,20,358400,162550,637240,17285,108,32.9184,73.5,22.41,104,31.69,29.41510428,Wide,Flat
232483,Commercial,Model 10821 Wide-Corr Centurion Bin,21,385300,174750,665560,18053,108,32.9184,77.2,23.53,107.6,32.8,29.3886834,Wide,Flat
232484,Commercial,Model 10822 Wide-Corr Centurion Bin,22,410500,186200,693880,18821,108,32.9184,80.9,24.65,111.3,33.92,29.3886834,Wide,Flat
232486,Commercial,Model 6609 Wide-Corr Centurion Bin,09,47300,21450,111330,3020,66,20.1168,33.2,10.11,51.7,15.77,29.36705611,Wide,Flat
232487,Commercial,Model 6610 Wide-Corr Centurion Bin,10,52400,23750,121900,3307,66,20.1168,36.8,11.23,55.4,16.89,29.36705611,Wide,Flat
232488,Commercial,Model 6611 Wide-Corr Centurion Bin,11,58000,26350,132480,3593,66,20.1168,40.5,12.35,59.1,18,29.32377394,Wide,Flat
232489,Commercial,Model 6612 Wide-Corr Centurion Bin,12,63200,28650,143060,3880,66,20.1168,44.2,13.46,62.7,19.12,29.36705611,Wide,Flat
232490,Commercial,Model 6613 Wide-Corr Centurion Bin,13,69000,31300,153630,4167,66,20.1168,47.8,14.58,66.4,20.24,29.36705611,Wide,Flat
232491,Commercial,Model 6614 Wide-Corr Centurion Bin,14,75300,34150,164210,4454,66,20.1168,51.5,15.7,70.1,21.36,29.36705611,Wide,Flat
232492,Commercial,Model 6615 Wide-Corr Centurion Bin,15,82000,37200,174780,4741,66,20.1168,55.2,16.82,73.7,22.47,29.32377394,Wide,Flat
232493,Commercial,Model 6616 Wide-Corr Centurion Bin,16,89900,40800,185360,5028,66,20.1168,58.8,17.93,77.4,23.59,29.36705611,Wide,Flat
232494,Commercial,Model 6617 Wide-Corr Centurion Bin,17,98400,44600,196000,5316,66,20.1168,82.5,19.06,81.1,24.72,29.36705611,Wide,Flat
232495,Commercial,Model 6618 Wide-Corr Centurion Bin,18,105300,47750,206570,5603,66,20.1168,66.2,20.17,84.8,25.83,29.36705611,Wide,Flat
232496,Commercial,Model 6619 Wide-Corr Centurion Bin,19,114700,52050,217150,5890,66,20.1168,69.9,21.29,88.4,26.95,29.36705611,Wide,Flat
232497,Commercial,Model 6620 Wide-Corr Centurion Bin,20,122900,55750,227730,6177,66,20.1168,73.5,22.41,92.1,28.07,29.36705611,Wide,Flat
232498,Commercial,Model 6621 Wide-Corr Centurion Bin,21,132600,60100,238300,6464,66,20.1168,77.2,23.53,95.8,29.19,29.36705611,Wide,Flat
232499,Commercial,Model 6622 Wide-Corr Centurion Bin,22,142100,64450,248800,6751,66,20.1168,80.9,24.65,99.4,30.3,29.32377394,Wide,Flat
232500,Commercial,Model 6623 Wide-Corr Centurion Bin,23,151100,68500,259460,7037,66,20.1168,84.5,25.76,103.1,31.42,29.36705611,Wide,Flat
232502,Commercial,Model 8409 Wide-Corr Centurion Bin,09,82900,37600,186230,5051,84,25.6032,33.2,11.23,56.9,18.46,29.45659505,Wide,Flat
232503,Commercial,Model 8410 Wide-Corr Centurion Bin,10,90300,40950,203360,5516,84,25.6032,36.8,11.23,60.6,18.46,29.45659505,Wide,Flat
232504,Commercial,Model 8411 Wide-Corr Centurion Bin,11,99200,45000,220490,5981,84,25.6032,40.5,12.35,64.2,19.58,29.45659505,Wide,Flat
232505,Commercial,Model 8412 Wide-Corr Centurion Bin,12,108300,49100,237630,6445,84,25.6032,44.2,13.46,67.9,20.7,29.49051683,Wide,Flat
232506,Commercial,Model 8413 Wide-Corr Centurion Bin,13,118100,53600,254760,6910,84,25.6032,47.8,14.58,71.6,21.82,29.49051683,Wide,Flat
232507,Commercial,Model 8414 Wide-Corr Centurion Bin,14,12770,57900,271890,7375,84,25.6032,51.5,15.7,75.2,22.93,29.45659505,Wide,Flat
232508,Commercial,Model 8415 Wide-Corr Centurion Bin,15,139100,63100,289020,7839,84,25.6032,55.2,16.82,78.9,24.05,29.45659505,Wide,Flat
232509,Commercial,Model 8416 Wide-Corr Centurion Bin,16,154300,69950,306150,8304,84,25.6032,58.8,17.93,82.6,25.17,29.49051683,Wide,Flat
232510,Commercial,Model 8417 Wide-Corr Centurion Bin,17,166400,75450,323380,8771,84,25.6032,62.5,19.06,86.3,26.29,29.45659505,Wide,Flat
232511,Commercial,Model 8418 Wide-Corr Centurion Bin,18,181100,82100,340510,9236,84,25.6032,66.2,20.17,89.9,27.41,29.49051683,Wide,Flat
232512,Commercial,Model 8419 Wide-Corr Centurion Bin,19,194500,88250,357650,9701,84,25.6032,69.9,21.29,93.6,28.53,29.49051683,Wide,Flat
232513,Commercial,Model 8420 Wide-Corr Centurion Bin,20,210800,95600,374780,10166,84,25.6032,73.5,22.41,97.3,29.64,29.45659505,Wide,Flat
232514,Commercial,Model 8421 Wide-Corr Centurion Bin,21,224300,101750,391910,10630,84,25.6032,77.2,23.53,100.9,30.76,29.45659505,Wide,Flat
232515,Commercial,Model 8422 Wide-Corr Centurion Bin,22,241100,109350,409040,11095,84,25.6032,80.9,24.65,104.6,31.88,29.45659505,Wide,Flat
232516,Commercial,Model 8423 Wide-Corr Centurion Bin,23,257000,116550,426170,11560,84,25.6032,84.5,25.76,108.3,33,29.49051683,Wide,Flat
232526,Commercial,Model 4513 Wide-Corr Centurion Bin,13,31200,14150,69160,1876,45,13.716,47.8,14.58,60,18.29,28.41223763,Wide,Flat
232527,Commercial,Model 4514 Wide-Corr Centurion Bin,14,34100,15450,74080,2009,45,13.716,51.5,15.7,63.7,19.41,28.41223763,Wide,Flat
232528,Commercial,Model 4515 Wide-Corr Centurion Bin,15,37400,17000,79000,2143,45,13.716,55.2,16.82,67.3,20.52,28.34756685,Wide,Flat
232529,Commercial,Model 4516 Wide-Corr Centurion Bin,16,48000,18500,83910,2276,45,13.716,58.8,17.93,71,21.64,28.41223763,Wide,Flat
232530,Commercial,Model 4517 Wide-Corr Centurion Bin,17,44400,18500,88830,2276,45,13.716,62.5,17.93,74.7,21.64,28.41223763,Wide,Flat
232531,Commercial,Model 4518 Wide-Corr Centurion Bin,18,48400,22000,93750,2409,45,13.716,66.2,19.05,78.3,22.76,28.41223763,Wide,Flat
232532,Commercial,Model 4519 Wide-Corr Centurion Bin,19,53700,21600,98960,2543,45,13.716,69.9,20.17,82,23.88,28.41223763,Wide,Flat
232533,Commercial,Model 4520 Wide-Corr Centurion Bin,20,61100,27700,103610,2810,45,13.716,73.5,22.41,85.7,26.12,28.41223763,Wide,Flat
232534,Commercial,Model 4521 Wide-Corr Centurion Bin,21,69900,31700,108520,2944,45,13.716,77.2,23.53,89.4,27.24,28.41223763,Wide,Flat
232535,Commercial,Model 4522 Wide-Corr Centurion Bin,22,78200,35500,113440,3077,45,13.716,89,24.65,93,28.35,28.34756685,Wide,Flat
232536,Commercial,Model 4523 Wide-Corr Centurion Bin,23,88000,39900,118360,3210,45,13.716,84.5,25.76,96.7,29.47,28.41223763,Wide,Flat
232539,Commercial,Model 5113 Wide-Corr Centurion Bin,13,38900,17600,86960,2433,51,15.5448,47.8,14.58,61.5,18.75,28.21417282,Wide,Flat
232540,Commercial,Model 5114 Wide-Corr Centurion Bin,14,43000,19500,96010,2604,51,15.5448,51.5,15.7,65.2,19.87,28.21417282,Wide,Flat
232541,Commercial,Model 5115 Wide-Corr Centurion Bin,15,46500,21100,102320,2775,51,15.5448,55.2,16.82,68.9,20.99,28.21417282,Wide,Flat
232542,Commercial,Model 5116 Wide-Corr Centurion Bin,16,50900,23050,108640,2947,51,15.5448,58.8,17.93,72.5,22.11,28.27138261,Wide,Flat
232543,Commercial,Model 5117 Wide-Corr Centurion Bin,17,56300,25500,114950,3118,51,15.5448,62.5,19.05,76.2,23.23,28.27138261,Wide,Flat
232544,Commercial,Model 5118 Wide-Corr Centurion Bin,18,60600,27500,121270,3289,51,15.5448,66.2,20.17,79.9,24.34,28.21417282,Wide,Flat
232545,Commercial,Model 5122 Wide-Corr Centurion Bin,22,87600,39750,146570,3975,51,15.5448,80.9,24.65,94.6,28.82,28.21417282,Wide,Flat
232545,Commercial,Model 5119 Wide-Corr Centurion Bin,19,66300,30050,127620,3462,51,15.5448,69.9,21.29,83.6,25.47,28.27138261,Wide,Flat
232546,Commercial,Model 5120 Wide-Corr Centurion Bin,20,70600,32000,133940,3633,51,15.5448,73.5,22.41,87.2,26.58,28.21417282,Wide,Flat
232547,Commercial,Model 5121 Wide-Corr Centurion Bin,21,75600,34650,140250,3804,51,15.5448,77.2,23.53,90.9,27.7,28.21417282,Wide,Flat
232549,Commercial,Model 5123 Wide-Corr Centurion Bin,23,98300,44550,152880,4147,51,15.5448,84.5,25.76,98.2,29.94,28.27138261,Wide,Flat
231997W,Farm,Model 1505 Centurion-W Bin,05,3000,1400,2930,80,15,4.55,18.5,5.64,22.6,6.88,28.59281119,Wide,Flat
231997WL,Farm,Model 1505 Centurion-W Bin for Sealform,05,2900,1315,2930,80,15,4.55,18.5,5.64,22.6,6.88,28.59281119,Wide,Flat
231998W,Farm,Model 1506 Centurion-W Bin,06,3400,1550,3470,94,15,4.55,22.2,6.76,26.2,7.99,28.39828679,Wide,Flat
231998WL,Farm,Model 1506 Centurion-W Bin for Sealform,06,3300,1497,3470,94,15,4.55,22.2,6.76,26.2,7.99,28.39828679,Wide,Flat
231999W,Farm,Model 1507 Centurion-W Bin,07,3900,1800,4010,109,15,4.55,25.8,7.87,29.9,9.11,28.59281119,Wide,Flat
231999WL,Farm,Model 1507 Centurion-W Bin for Sealform,07,3800,1723,4010,109,15,4.55,25.8,7.87,29.9,9.11,28.59281119,Wide,Flat
232000W,Farm,Model 1508 Centurion-W Bin,08,4300,1950,4550,124,15,4.55,29.5,8.99,33.6,10.23,28.59281119,Wide,Flat
232000WL,Farm,Model 1508 Centurion-W Bin for Sealform,08,4200,1905,4550,124,15,4.55,29.5,8.99,33.6,10.23,28.59281119,Wide,Flat
232001W,Farm,Model 1509 Centurion-W Bin,09,4900,2200,5100,138,15,4.55,33.2,10.11,37.2,11.35,28.59281119,Wide,Flat
232002W,Farm,Model 1510 Centurion-W Bin,10,5300,2400,5640,153,15,4.55,36.8,11.23,40.8,12.43,27.81041544,Wide,Flat
232003W,Farm,Model 1511 Centurion-W Bin,11,5900,2650,6180,168,15,4.55,40.5,12.34,44.4,13.55,28.00708829,Wide,Flat
232004W,Farm,Model 1512 Centurion-W Bin,12,6700,3050,6720,182,15,4.55,44.2,13.46,48.1,14.66,27.81041544,Wide,Flat
232007W,Farm,Model 1805 Centurion-W Bin,05,3600,1650,4280,116,18,5.46,18.5,5.64,23.4,7.14,28.78661831,Wide,Flat
232007WL,Farm,Model 1805 Centurion-W Bin for Sealform,05,3500,1587,4280,116,18,5.46,18.5,5.64,23.4,7.14,28.78661831,Wide,Flat
232008W,Farm,Model 1806 Centurion-W Bin,06,4100,1850,5060,137,18,5.46,22.2,6.76,27.1,8.26,28.78661831,Wide,Flat
232008WL,Farm,Model 1806 Centurion-W Bin for Sealform,06,4000,1814,5060,137,18,5.46,22.2,6.76,27.1,8.26,28.78661831,Wide,Flat
232009W,Farm,Model 1807 Centurion-W Bin,07,4600,2100,5840,158,18,5.46,25.8,7.87,30.8,9.37,28.78661831,Wide,Flat
232009WL,Farm,Model 1807 Centurion-W Bin for Sealform,07,4500,2041,5840,158,18,5.46,25.8,7.87,30.8,9.37,28.78661831,Wide,Flat
232010W,Farm,Model 1808 Centurion-W Bin,08,5100,2350,6620,179,18,5.46,29.5,8.99,34.4,10.49,28.78661831,Wide,Flat
232010WL,Farm,Model 1808 Centurion-W Bin for Sealform,08,5000,2268,6620,179,18,5.46,29.5,8.99,34.4,10.49,28.78661831,Wide,Flat
232011W,Farm,Model 1809 Centurion-W Bin,09,5800,2650,7400,192,18,5.46,33.2,10.11,38.1,11.61,28.78661831,Wide,Flat
232012W,Farm,Model 1810 Centurion-W Bin,10,6500,2950,8180,222,18,5.46,36.8,11.23,41.6,12.69,28.13780606,Wide,Flat
232013W,Farm,Model 1811 Centurion-W Bin,11,7300,3300,8950,243,18,5.46,40.5,12.34,45.3,13.81,28.30075577,Wide,Flat
232014W,Farm,Model 1812 Centurion-W Bin,12,8000,3650,9730,264,18,5.46,44.2,13.46,49,14.93,28.30075577,Wide,Flat
232017W,Farm,Model 2105 Centurion-W Bin,05,4400,2000,5900,160,21,6.37,18.5,5.64,24.3,7.4,28.92461256,Wide,Flat
232017WL,Farm,Model 2105 Centurion-W Bin for Sealform,05,4300,1950,5900,160,21,6.37,18.5,5.64,24.3,7.4,28.92461256,Wide,Flat
232018W,Farm,Model 2106 Centurion-W Bin,06,4900,2250,6960,189,21,6.37,22.2,6.76,28,8.52,28.92461256,Wide,Flat
232018WL,Farm,Model 2106 Centurion-W Bin for Sealform,06,4800,2177,6960,189,21,6.37,22.2,6.76,28,8.52,28.92461256,Wide,Flat
232019W,Farm,Model 2107 Centurion-W Bin,07,5500,2500,8030,218,21,6.37,25.8,7.87,31.6,9.64,29.06224048,Wide,Flat
232019WL,Farm,Model 2107 Centurion-W Bin for Sealform,07,5400,2449,8030,218,21,6.37,25.8,7.87,31.6,9.64,29.06224048,Wide,Flat
232020W,Farm,Model 2108 Centurion-W Bin,08,6100,2800,9090,246,21,6.37,29.5,8.99,35.3,10.75,28.92461256,Wide,Flat
232020WL,Farm,Model 2108 Centurion-W Bin for Sealform,08,6000,2721,9090,246,21,6.37,29.5,8.99,35.3,10.75,28.92461256,Wide,Flat
232021W,Farm,Model 2109 Centurion-W Bin,09,7000,3150,10150,275,21,6.37,33.2,10.11,39,11.87,28.92461256,Wide,Flat
232022W,Farm,Model 2110 Centurion-W Bin,10,7500,3400,11210,304,21,6.37,36.8,11.23,42.5,12.95,28.37043906,Wide,Flat
232023W,Farm,Model 2111 Centurion-W Bin,11,8700,3950,12270,333,21,6.37,40.5,12.34,46.2,14.07,28.50953139,Wide,Flat
232024W,Farm,Model 2112 Centurion-W Bin,12,9600,4350,13330,362,21,6.37,44.2,13.46,49.8,15.19,28.50953139,Wide,Flat
232027W,Farm,Model 2405 Centurion-W Bin,05,5000,2300,7810,212,24,7.28,18.5,5.64,25.1,7.66,29.02786785,Wide,Flat
232027WL,Farm,Model 2405 Centurion-W Bin for Sealform,05,4900,2222,7810,212,24,7.28,18.5,5.64,25.1,7.66,29.02786785,Wide,Flat
232028W,Farm,Model 2406 Centurion-W Bin,06,5600,2550,9200,250,24,7.28,22.2,6.76,28.8,8.78,29.02786785,Wide,Flat
232028WL,Farm,Model 2406 Centurion-W Bin for Sealform,06,5500,2494,9200,250,24,7.28,22.2,6.76,28.8,8.78,29.02786785,Wide,Flat
